avg_temp_c,temp_variance,humidity_change,shock_g,light_events,route_deviation_km,theft_zone_risk,weather_risk,carrier_score,device_uptime,transit_time_hr,declared_value_usd,cargo_type,packaging_type,claim
18.85,5.32,10.66,1.17,0,4.31,2.88,3.82,0.799,0.969,45.6,18978.96,electronics_high_value,standard,1
20.53,1.14,6.91,2.05,2,2.48,4.42,3.13,0.917,0.985,81.1,8141.08,general_merchandise,refrigerated,0
5.26,2.83,5.7,1.19,1,2.79,4.45,8.5,0.94,0.958,109.6,119302.04,pharma_cold_chain,refrigerated,0
11.71,4.23,0.06,2.28,0,0.78,1.85,7.86,0.7,0.969,88.8,19708.73,fresh_produce,refrigerated,1
23.93,7.31,8.27,1.47,0,2.25,3.09,5.24,0.853,0.963,88.9,33278.86,general_merchandise,palletized,0
13.1,1.86,8.88,1.98,2,0.97,1.32,5.24,0.616,0.975,18.2,35870.33,chemicals,refrigerated,0
3.63,0.13,6.37,2.44,1,6.87,0.59,5.16,0.756,0.961,89.8,52027.34,pharma_cold_chain,refrigerated,1
14.16,4.98,2.89,2.1,0,3.9,1.33,1.85,0.752,0.972,53.4,20486.89,general_merchandise,standard,0
13.53,2.15,14.25,1.02,1,3.6,1.82,5.56,0.655,0.99,84.0,45533.05,fresh_produce,refrigerated,1
16.84,5.09,4.11,0.96,3,4.09,4.59,7.37,0.616,0.95,83.2,45306.36,fresh_produce,refrigerated,0
20.95,2.91,8.03,2.14,0,1.6,3.83,3.07,0.757,0.98,67.1,47099.96,general_merchandise,insulated,1
17.44,5.76,5.65,0.42,1,0.45,5.47,5.47,0.631,0.962,121.3,66339.23,electronics_high_value,standard,1
15.11,1.41,5.42,1.63,2,5.36,4.78,2.31,0.971,0.948,30.3,26590.31,pharma_cold_chain,refrigerated,0
16.6,3.48,10.0,1.78,0,0.05,1.3,7.34,1.0,0.986,61.0,60890.73,fresh_produce,palletized,0
20.75,0.77,5.76,1.9,0,5.0,1.2,3.29,0.793,0.955,65.4,24510.99,general_merchandise,refrigerated,1
17.36,5.22,8.23,2.25,2,1.25,4.02,2.03,0.671,0.968,106.6,87881.39,electronics_high_value,standard,0
5.92,2.04,0.41,2.43,1,3.8,2.58,2.82,0.748,0.983,94.1,36404.45,pharma_cold_chain,refrigerated,0
16.8,5.32,9.84,1.74,2,0.79,3.84,5.61,0.869,1.0,80.4,66468.01,electronics_high_value,standard,1
17.19,1.27,0.2,3.13,0,2.41,4.42,3.01,0.664,1.0,63.5,24202.07,chemicals,refrigerated,0
17.13,1.02,9.97,0.56,0,5.2,2.51,1.25,0.665,0.953,79.9,68617.17,fresh_produce,refrigerated,0
16.61,6.41,11.25,3.4,0,5.62,3.58,0.8,0.592,0.944,69.7,31286.93,electronics_high_value,standard,0
16.12,0.78,6.51,1.41,1,3.33,1.36,6.35,0.838,0.941,56.3,17413.51,general_merchandise,refrigerated,0
14.03,4.21,12.92,1.88,0,0.17,1.87,5.25,0.882,0.974,42.1,47462.52,electronics_high_value,standard,0
14.29,5.07,6.9,2.28,0,0.06,3.83,1.14,0.639,1.0,89.6,15079.65,electronics_high_value,standard,0
13.79,6.02,13.55,1.48,2,0.32,1.53,1.87,0.604,0.966,101.0,46901.1,fresh_produce,palletized,1
13.19,2.46,8.96,0.8,2,0.22,2.45,1.75,0.699,1.0,53.6,29848.69,general_merchandise,refrigerated,0
4.89,0.05,8.3,1.86,1,0.73,2.26,1.31,0.734,0.948,111.4,26387.64,pharma_cold_chain,insulated,0
12.95,3.88,13.21,0.59,0,3.78,1.12,5.89,0.633,0.951,62.3,61580.36,pharma_cold_chain,refrigerated,0
11.09,5.77,7.14,0.53,0,1.47,0.89,3.55,0.778,0.963,78.4,19267.26,general_merchandise,palletized,1
17.39,2.9,4.91,1.8,0,0.15,2.84,5.62,0.662,0.984,27.4,18152.91,general_merchandise,refrigerated,0
20.54,5.04,8.88,1.82,0,2.54,1.91,3.2,0.829,0.949,114.8,72501.72,general_merchandise,insulated,1
19.22,6.36,12.37,2.45,0,3.43,2.6,4.42,0.595,0.956,62.2,20634.53,electronics_high_value,standard,1
17.06,6.03,3.14,0.08,1,1.72,1.92,3.52,0.908,1.0,91.2,34194.77,electronics_high_value,palletized,1
15.55,5.61,10.85,0.71,0,2.72,2.74,3.79,0.745,0.93,39.8,55992.81,fresh_produce,palletized,0
17.51,2.87,8.24,0.97,1,3.36,0.87,6.81,0.704,0.948,62.6,72085.87,fresh_produce,refrigerated,0
15.02,3.54,5.85,2.51,0,4.47,3.6,3.95,0.65,0.972,60.4,59743.2,fresh_produce,palletized,1
19.27,5.03,1.86,1.28,0,1.0,1.04,5.37,0.848,0.991,75.6,35572.34,general_merchandise,standard,1
16.43,2.61,8.64,1.48,0,0.07,5.18,2.81,0.668,0.984,99.4,24008.89,general_merchandise,refrigerated,1
15.11,5.91,3.85,2.09,1,3.81,1.75,2.33,0.718,0.925,72.1,68883.63,general_merchandise,standard,0
17.79,4.87,3.16,0.81,0,0.77,1.05,1.57,0.657,0.949,37.4,71863.0,electronics_high_value,palletized,0
14.2,5.86,12.68,1.34,1,0.04,6.06,3.41,0.863,0.972,72.9,22287.78,electronics_high_value,standard,1
18.11,3.08,10.81,1.87,2,1.94,0.97,8.19,0.939,1.0,90.6,30045.2,fresh_produce,refrigerated,0
21.17,4.43,0.46,1.89,0,6.19,3.09,5.67,0.887,0.973,103.0,17337.29,general_merchandise,palletized,1
9.15,1.44,11.08,1.5,0,2.73,2.88,1.76,0.822,0.968,92.5,21823.74,pharma_cold_chain,refrigerated,0
16.74,0.64,7.02,2.12,1,1.18,2.34,6.06,0.794,0.932,74.1,19122.95,general_merchandise,insulated,0
18.51,3.92,12.96,1.85,0,4.19,2.4,5.54,0.829,0.91,124.6,33174.78,general_merchandise,refrigerated,0
13.88,5.03,9.47,1.89,2,1.48,4.56,0.83,0.773,0.948,58.3,43647.73,fresh_produce,refrigerated,1
13.58,8.45,8.31,1.67,0,1.52,1.48,3.26,0.783,0.983,68.2,17601.84,chemicals,standard,0
2.99,2.01,3.22,1.66,0,2.11,2.65,2.05,0.631,0.917,104.0,27594.66,pharma_cold_chain,refrigerated,0
6.91,3.73,9.22,2.07,2,1.29,4.53,3.93,0.718,0.997,84.7,117511.78,pharma_cold_chain,refrigerated,0
20.55,7.09,2.27,2.78,0,10.49,1.69,3.24,0.877,0.961,85.9,53625.92,general_merchandise,palletized,0
18.83,5.83,19.41,2.31,0,11.58,4.32,3.79,0.753,1.0,67.2,43721.96,electronics_high_value,standard,0
4.55,3.86,6.19,2.34,1,3.77,2.87,1.97,0.66,0.967,95.7,88971.52,pharma_cold_chain,insulated,1
17.41,0.56,16.52,1.88,0,9.01,2.9,4.03,0.924,0.955,68.4,37699.45,fresh_produce,refrigerated,0
11.26,5.92,10.87,1.77,0,3.02,0.65,4.2,0.899,0.967,97.9,50882.5,electronics_high_value,standard,1
3.17,4.34,8.17,2.51,2,7.28,5.7,4.39,0.605,1.0,55.6,27045.08,pharma_cold_chain,insulated,1
14.85,2.97,5.95,2.3,1,7.51,1.53,0.81,0.713,0.95,53.2,23585.65,general_merchandise,standard,1
12.71,4.5,2.43,2.35,0,0.76,4.17,3.43,0.749,0.979,73.2,23746.64,general_merchandise,standard,0
3.25,2.25,9.3,1.95,0,0.6,1.2,2.46,0.956,0.972,76.9,80188.8,pharma_cold_chain,insulated,1
10.42,5.16,4.44,2.23,1,3.06,1.94,4.18,0.586,0.97,43.9,60533.97,pharma_cold_chain,insulated,0
4.73,0.66,12.62,2.4,1,2.28,3.07,3.48,0.785,0.978,80.4,47453.72,pharma_cold_chain,refrigerated,0
17.77,1.51,15.14,2.17,0,4.83,1.33,1.89,0.861,0.941,82.4,25382.68,general_merchandise,insulated,0
21.2,2.92,8.39,1.67,2,1.72,6.25,2.65,0.744,0.98,89.0,24375.2,general_merchandise,standard,0
17.13,1.92,6.66,1.7,3,4.99,1.86,2.44,0.868,0.996,81.9,85603.96,general_merchandise,refrigerated,0
16.47,0.76,7.29,2.38,2,1.0,2.13,3.73,0.616,0.938,78.9,95743.7,general_merchandise,insulated,0
12.42,1.33,5.37,0.1,1,5.51,0.8,4.27,0.874,0.96,84.9,37730.3,fresh_produce,refrigerated,1
9.46,0.99,3.94,0.66,0,7.25,4.95,6.23,0.575,0.955,81.7,15872.6,pharma_cold_chain,refrigerated,0
14.86,3.4,1.11,1.59,1,3.8,2.58,7.43,0.814,0.96,153.9,34900.81,electronics_high_value,standard,1
14.83,5.93,8.67,1.5,1,5.84,2.88,5.82,0.891,1.0,76.8,101692.88,general_merchandise,standard,1
15.63,7.77,8.78,1.81,1,6.63,3.44,5.7,0.764,0.968,82.8,36889.68,electronics_high_value,standard,0
15.69,2.01,7.17,2.81,0,2.58,3.43,1.68,0.73,0.931,19.9,53222.46,fresh_produce,refrigerated,0
5.38,0.2,14.2,1.32,1,6.59,4.8,2.98,0.603,1.0,49.7,50722.5,pharma_cold_chain,refrigerated,0
6.48,2.78,6.03,1.91,0,1.44,0.83,7.42,0.812,0.992,55.2,44330.55,pharma_cold_chain,insulated,1
13.58,5.42,15.64,0.61,0,0.04,3.62,3.46,0.716,0.974,57.1,109697.49,electronics_high_value,palletized,0
17.8,4.26,9.98,0.83,0,5.93,1.11,4.34,0.647,0.946,85.6,21040.31,electronics_high_value,standard,0
17.76,3.11,8.67,1.51,0,1.73,1.93,5.26,0.799,0.993,81.4,27029.35,general_merchandise,insulated,0
15.54,4.47,5.79,2.21,0,5.04,1.86,1.56,0.655,0.923,73.2,21520.25,general_merchandise,palletized,1
16.61,1.12,12.14,2.32,0,0.18,2.35,0.88,0.773,0.982,76.6,120564.75,chemicals,refrigerated,1
13.66,3.98,9.71,2.07,0,4.66,2.54,5.42,0.731,0.993,57.1,28742.79,general_merchandise,insulated,0
3.8,2.63,13.29,1.99,0,0.07,0.87,3.73,0.851,0.941,63.4,36776.46,pharma_cold_chain,insulated,0
17.71,6.12,0.09,2.16,0,1.3,6.15,4.73,0.591,1.0,84.7,38422.32,general_merchandise,standard,1
15.98,4.31,17.44,0.82,1,3.7,4.29,8.09,0.708,0.995,73.8,17673.6,electronics_high_value,palletized,1
16.67,6.3,10.66,2.92,2,1.51,1.95,1.42,0.626,1.0,84.1,11576.86,general_merchandise,standard,0
6.99,3.48,11.55,2.69,0,6.2,3.66,6.77,0.733,0.994,64.9,69051.73,pharma_cold_chain,refrigerated,0
18.58,0.28,6.08,1.2,1,2.32,1.03,6.45,0.69,0.966,95.8,62306.52,general_merchandise,refrigerated,0
7.9,3.38,11.7,1.48,1,3.32,3.8,7.0,0.793,0.998,119.8,78767.49,pharma_cold_chain,insulated,1
0.82,2.41,6.27,0.61,1,4.83,2.38,3.91,0.745,0.899,37.4,92111.44,pharma_cold_chain,insulated,0
14.82,2.25,4.0,1.14,1,1.28,1.07,4.98,0.691,0.979,71.7,38070.83,electronics_high_value,palletized,1
1.84,0.17,4.9,1.39,0,1.85,3.8,1.54,0.437,0.944,16.4,25715.25,pharma_cold_chain,refrigerated,0
15.02,1.73,15.09,2.08,1,0.45,5.33,1.68,0.786,0.969,60.6,38876.24,general_merchandise,refrigerated,0
16.96,5.87,4.16,1.6,0,2.93,3.42,5.22,0.756,0.963,61.2,89617.19,electronics_high_value,standard,1
18.92,3.08,1.54,3.56,1,0.83,3.18,3.99,0.678,0.991,125.9,46382.51,fresh_produce,refrigerated,0
15.68,6.47,7.0,1.57,0,0.07,1.23,2.86,0.623,0.95,23.7,14035.15,general_merchandise,standard,1
14.84,1.46,1.69,2.05,0,1.86,1.27,4.43,0.79,0.943,61.7,75030.14,fresh_produce,refrigerated,0
16.59,2.39,6.88,1.54,0,3.66,1.6,5.03,0.634,0.939,45.2,70115.98,general_merchandise,insulated,0
18.36,2.49,17.8,1.13,1,0.31,4.71,2.77,0.79,1.0,78.3,64046.91,fresh_produce,refrigerated,0
14.04,3.82,14.8,3.04,3,0.21,0.47,0.97,0.786,0.948,81.0,24910.27,general_merchandise,insulated,0
17.24,5.4,13.95,2.27,1,1.7,0.98,2.28,0.53,0.968,82.5,50879.02,electronics_high_value,standard,0
18.6,1.07,5.27,0.09,2,6.29,3.78,6.04,0.956,1.0,55.1,37528.37,fresh_produce,refrigerated,1
10.67,1.77,17.54,2.4,1,1.84,1.35,3.88,0.695,0.961,44.8,31788.17,pharma_cold_chain,insulated,0
7.68,0.07,6.69,1.52,0,2.48,2.82,4.64,0.518,0.938,54.6,52929.68,pharma_cold_chain,insulated,1
15.62,1.18,7.57,1.22,1,3.2,3.61,5.26,0.741,0.954,85.6,57740.9,general_merchandise,insulated,0
8.75,2.21,2.51,2.24,0,8.07,1.78,7.94,0.612,0.959,65.8,12643.05,pharma_cold_chain,insulated,0
8.59,3.23,12.27,1.42,1,3.19,2.66,6.85,0.863,0.932,126.5,61513.58,pharma_cold_chain,refrigerated,1
17.39,3.12,6.82,1.05,1,6.53,1.57,5.38,0.822,0.95,73.3,76371.31,electronics_high_value,standard,1
14.06,6.02,8.74,1.52,2,0.34,4.76,2.31,0.682,1.0,30.3,25446.77,electronics_high_value,standard,1
17.39,4.56,7.76,3.04,1,0.87,3.7,3.23,0.875,0.947,73.7,12417.14,general_merchandise,palletized,0
16.44,5.74,12.07,2.37,2,1.03,4.93,3.38,0.869,0.988,50.2,30696.38,chemicals,standard,1
16.41,1.02,3.2,0.78,0,7.94,3.22,3.02,0.804,0.954,60.8,38837.28,fresh_produce,refrigerated,1
6.19,0.3,10.1,2.16,2,2.35,7.06,4.7,0.712,0.93,61.7,54477.57,pharma_cold_chain,insulated,0
16.99,0.56,8.6,3.6,0,2.2,1.86,3.58,0.809,0.934,112.9,27208.49,chemicals,refrigerated,0
15.84,4.58,9.62,1.22,0,2.41,1.84,5.99,0.701,0.924,63.7,8556.96,general_merchandise,refrigerated,1
9.3,5.3,8.89,3.59,2,1.77,1.95,6.56,0.669,0.927,101.5,31970.91,chemicals,standard,1
10.59,1.97,10.01,1.24,0,6.33,1.17,1.82,0.777,0.961,68.8,61209.34,general_merchandise,standard,0
18.19,7.19,6.51,1.7,0,0.95,4.3,7.02,0.648,0.972,59.2,77094.06,general_merchandise,standard,1
15.27,1.74,5.57,1.56,1,2.49,1.82,2.93,0.638,0.951,86.2,136465.15,fresh_produce,refrigerated,0
14.14,2.75,1.64,1.63,0,3.35,0.44,6.63,0.779,0.965,128.9,27057.27,general_merchandise,refrigerated,0
12.34,4.43,11.93,3.84,0,1.11,2.99,4.42,0.704,0.946,70.6,43643.91,general_merchandise,standard,1
12.6,3.95,11.62,1.98,1,0.61,4.24,4.35,0.908,0.955,41.4,43862.34,general_merchandise,insulated,0
18.51,0.48,4.84,1.44,1,1.18,0.69,7.48,0.741,0.925,107.8,68661.91,fresh_produce,refrigerated,1
16.09,3.36,13.03,1.29,2,2.28,3.33,1.09,0.829,0.933,142.7,22756.71,fresh_produce,refrigerated,1
12.26,3.02,8.72,1.06,0,6.0,1.38,1.92,0.931,0.98,76.5,57976.95,fresh_produce,refrigerated,0
14.73,5.58,9.95,1.07,2,3.44,4.22,2.15,0.746,0.959,65.0,25673.59,electronics_high_value,standard,1
14.95,7.38,11.32,2.74,1,3.26,1.55,3.52,0.917,0.946,43.3,31592.79,electronics_high_value,palletized,0
21.28,4.0,17.12,1.55,1,4.56,1.71,0.59,0.915,0.977,61.7,41608.54,general_merchandise,standard,0
12.1,7.03,8.81,1.54,1,3.65,1.65,3.88,0.722,0.992,100.6,19245.44,electronics_high_value,palletized,0
6.07,2.49,10.39,0.23,1,0.2,4.63,2.83,0.626,0.941,49.1,49607.73,pharma_cold_chain,insulated,0
20.49,1.33,3.14,1.69,1,2.01,2.44,2.92,0.696,0.955,46.0,15734.84,general_merchandise,insulated,0
13.04,2.45,0.24,1.14,1,5.35,1.06,0.55,0.553,0.975,44.7,27898.28,general_merchandise,refrigerated,0
18.33,3.2,3.83,2.33,2,2.1,3.48,2.35,0.62,0.967,36.9,45306.53,general_merchandise,insulated,1
10.04,3.65,7.12,0.07,0,6.38,5.91,4.77,0.593,0.957,100.1,12704.77,general_merchandise,standard,0
14.72,4.67,9.04,1.69,1,4.28,2.24,6.13,0.776,0.973,50.4,25959.85,electronics_high_value,standard,1
18.82,1.17,12.44,1.34,0,0.64,1.2,3.38,0.636,1.0,64.8,70305.17,general_merchandise,refrigerated,1
4.32,0.11,5.82,0.31,0,0.72,2.72,3.4,0.718,0.978,50.1,23535.23,pharma_cold_chain,insulated,0
15.97,2.25,11.31,1.4,0,2.13,0.92,4.08,0.831,1.0,74.0,19450.25,electronics_high_value,palletized,1
19.82,2.23,14.0,0.65,0,2.3,4.6,4.8,0.922,0.967,67.3,30167.62,general_merchandise,insulated,0
14.08,5.13,7.14,1.23,0,0.54,3.06,1.78,0.923,0.991,75.9,9980.94,electronics_high_value,standard,0
18.2,0.61,14.68,1.78,0,2.13,1.77,3.82,0.751,1.0,104.2,40459.78,general_merchandise,refrigerated,0
12.59,4.55,5.79,3.23,2,3.27,5.31,6.18,0.738,0.948,61.4,20446.29,electronics_high_value,standard,1
19.71,0.43,13.77,2.3,1,6.04,2.22,2.57,0.848,0.983,57.8,97897.48,general_merchandise,refrigerated,0
16.75,5.09,9.01,0.13,1,0.09,1.97,0.94,0.733,0.928,24.4,13084.75,fresh_produce,palletized,0
6.02,1.98,3.71,1.79,1,1.33,2.34,7.06,0.526,0.99,80.4,17139.69,pharma_cold_chain,insulated,1
18.52,6.9,5.93,2.11,0,9.41,5.92,6.57,0.723,0.945,37.2,101252.97,electronics_high_value,palletized,1
8.79,4.35,11.47,1.65,0,5.74,5.66,2.04,0.702,1.0,111.6,40376.01,pharma_cold_chain,refrigerated,1
18.99,1.95,16.44,0.54,1,0.04,4.38,3.7,0.776,0.954,48.4,61761.85,fresh_produce,refrigerated,0
14.76,4.13,17.95,0.15,0,9.59,2.58,1.29,0.779,0.961,78.6,45553.11,electronics_high_value,palletized,0
11.33,0.36,12.95,1.8,1,1.61,2.44,5.78,0.806,0.984,123.6,25843.08,pharma_cold_chain,refrigerated,0
13.81,1.57,21.77,1.04,0,4.27,2.17,7.67,0.869,0.948,58.2,45319.89,electronics_high_value,palletized,1
8.09,0.26,3.12,1.3,0,0.35,4.54,3.1,0.82,0.929,60.4,57727.69,general_merchandise,insulated,0
16.71,7.16,14.4,0.05,1,3.59,1.8,3.01,0.758,1.0,66.4,60446.34,electronics_high_value,palletized,1
17.83,3.29,4.44,1.32,0,1.07,2.16,4.82,0.9,0.987,58.1,44181.65,general_merchandise,palletized,0
14.07,1.26,10.8,3.68,1,3.88,2.24,3.25,0.766,0.9,56.4,52726.32,general_merchandise,refrigerated,1
14.27,4.58,21.51,0.07,1,0.17,1.08,6.16,0.861,0.956,105.9,64085.05,general_merchandise,palletized,0
15.74,3.61,5.82,1.14,1,0.87,1.72,4.92,0.551,0.966,108.9,45798.35,fresh_produce,palletized,0
21.24,4.62,2.72,1.98,1,3.35,5.73,4.23,0.582,0.974,113.7,17156.36,general_merchandise,standard,1
9.11,4.92,9.52,1.21,0,3.74,6.2,0.9,0.638,1.0,25.3,30200.04,fresh_produce,refrigerated,0
18.7,0.59,0.92,1.45,1,0.96,2.71,1.96,0.94,0.98,45.5,23332.72,general_merchandise,insulated,0
14.67,1.52,14.32,1.18,0,3.34,2.41,8.33,0.947,0.975,88.7,10885.93,fresh_produce,refrigerated,1
15.3,4.97,3.15,0.72,3,3.34,3.9,4.23,0.781,0.991,37.6,68856.04,general_merchandise,standard,1
17.01,7.84,8.94,1.42,0,1.27,4.31,4.37,0.813,0.986,104.1,47846.51,general_merchandise,palletized,0
15.93,1.45,9.65,1.02,0,1.82,4.64,4.73,0.722,0.979,80.6,33718.56,general_merchandise,insulated,0
3.96,0.47,11.17,2.54,1,1.44,2.82,5.48,0.754,0.98,100.2,12124.75,pharma_cold_chain,insulated,1
8.0,3.61,5.33,2.25,1,4.6,0.57,2.13,0.869,1.0,82.0,19247.85,pharma_cold_chain,refrigerated,1
7.0,0.27,1.2,1.18,1,5.49,1.64,2.59,0.749,0.947,104.0,27923.83,pharma_cold_chain,refrigerated,1
17.7,4.8,11.83,1.56,3,6.85,1.48,8.95,0.924,0.994,95.3,48119.79,electronics_high_value,standard,0
16.4,6.56,7.14,1.85,1,1.58,1.6,2.2,0.753,0.947,83.7,51992.76,general_merchandise,palletized,1
12.44,0.83,10.16,0.21,0,2.55,1.36,1.0,0.728,0.922,31.0,48537.05,electronics_high_value,palletized,0
5.05,2.42,10.81,1.1,2,2.38,1.93,5.16,0.77,0.936,58.9,43014.18,pharma_cold_chain,insulated,1
12.79,0.47,11.08,2.02,1,0.68,0.98,5.62,0.7,0.999,126.0,29952.55,fresh_produce,refrigerated,0
12.66,2.39,6.77,2.15,0,3.41,1.59,3.85,0.964,0.861,46.2,16019.21,electronics_high_value,standard,1
16.66,3.34,6.52,2.15,1,1.83,1.68,6.3,0.758,0.943,71.7,26443.36,fresh_produce,refrigerated,0
13.31,1.3,8.15,0.59,2,3.47,2.0,4.25,0.693,0.958,10.5,42570.01,general_merchandise,refrigerated,0
17.96,3.98,2.79,2.82,2,2.71,0.82,4.01,0.803,0.944,53.3,36709.94,general_merchandise,palletized,0
18.26,5.95,3.95,0.91,0,0.17,1.72,3.76,0.727,0.95,21.2,56949.72,fresh_produce,palletized,0
17.35,1.96,5.76,1.57,0,2.91,5.16,3.16,0.83,0.95,65.9,34100.91,general_merchandise,refrigerated,0
17.84,3.13,4.77,2.28,0,2.54,5.68,0.35,0.813,0.942,61.2,13573.75,electronics_high_value,palletized,0
17.02,7.37,12.06,2.31,0,0.18,1.49,6.94,0.579,0.941,64.7,76559.5,electronics_high_value,palletized,0
4.05,0.99,10.69,2.17,3,5.86,4.39,1.69,0.563,1.0,78.0,9945.1,pharma_cold_chain,insulated,0
11.91,1.84,1.28,1.43,0,0.31,2.35,3.99,0.759,0.943,147.9,13398.39,general_merchandise,insulated,0
23.29,4.86,0.02,2.05,2,2.03,0.84,2.27,0.636,0.996,42.4,43494.07,fresh_produce,refrigerated,0
15.74,1.89,6.22,2.78,1,0.89,3.85,4.45,0.863,1.0,36.9,60045.72,general_merchandise,refrigerated,0
13.19,4.74,8.8,1.4,0,2.26,5.45,6.2,0.798,0.941,39.7,80226.74,general_merchandise,standard,0
12.57,0.96,8.22,1.33,0,4.71,1.54,4.05,0.769,0.928,78.2,88385.13,chemicals,insulated,0
15.42,2.08,9.19,2.49,0,2.53,2.5,5.28,0.611,0.991,60.2,77322.77,general_merchandise,insulated,1
8.53,1.83,14.94,0.49,0,1.21,3.76,4.36,0.967,0.965,47.8,139783.35,pharma_cold_chain,refrigerated,0
14.65,4.2,6.09,1.33,1,0.99,3.49,5.37,0.822,0.935,61.5,38486.56,electronics_high_value,standard,1
15.01,5.26,14.26,1.12,0,1.73,1.97,4.46,0.744,1.0,68.0,38703.36,general_merchandise,palletized,0
15.22,3.62,6.6,0.83,0,1.97,2.87,3.83,0.853,0.938,33.7,24681.33,general_merchandise,standard,0
17.43,3.63,8.69,2.53,1,2.1,0.32,1.68,0.717,0.911,75.1,40706.25,general_merchandise,insulated,0
18.55,4.69,12.57,0.99,1,0.12,0.93,1.7,0.725,0.956,123.5,60034.44,electronics_high_value,standard,1
16.0,0.49,4.56,0.62,1,0.88,2.77,8.88,0.746,0.94,73.5,67795.64,fresh_produce,refrigerated,0
10.2,3.02,1.21,1.84,2,5.83,2.61,3.91,0.687,0.946,65.3,22423.9,pharma_cold_chain,insulated,0
18.55,8.99,8.35,3.33,0,3.37,2.18,2.95,0.814,0.944,62.7,138035.32,electronics_high_value,standard,1
17.39,5.08,8.84,0.77,1,2.34,6.79,2.88,0.931,0.985,85.5,26637.31,general_merchandise,standard,0
8.35,5.07,8.98,1.74,1,1.79,1.62,6.9,0.865,0.977,115.6,21352.68,electronics_high_value,palletized,0
10.41,4.59,5.77,1.97,1,2.67,3.16,4.04,0.709,0.957,85.9,26038.48,electronics_high_value,standard,0
15.03,4.34,11.67,1.15,1,8.1,5.49,5.61,0.795,0.934,52.5,16502.16,general_merchandise,insulated,1
15.34,5.04,10.23,1.03,3,1.63,0.71,2.53,0.818,0.965,71.4,27132.83,electronics_high_value,standard,0
17.25,3.94,7.54,1.2,1,4.89,0.53,8.28,0.772,0.96,90.2,84723.29,general_merchandise,insulated,0
17.79,5.44,12.11,1.84,1,5.75,0.63,0.1,0.472,0.956,68.3,72583.97,general_merchandise,standard,1
11.46,1.45,4.87,2.23,0,2.5,0.51,4.04,0.548,0.937,74.4,41136.94,pharma_cold_chain,refrigerated,0
14.46,5.56,7.5,2.34,1,3.7,2.01,4.88,0.682,0.969,76.9,38604.12,general_merchandise,palletized,1
1.02,5.04,19.33,2.11,1,3.69,3.73,8.02,0.523,0.941,59.8,205227.74,pharma_cold_chain,insulated,0
12.14,5.67,13.27,1.99,0,1.28,2.1,1.66,0.687,0.963,78.8,63135.41,general_merchandise,standard,0
16.72,6.11,10.52,0.03,1,1.52,0.75,1.88,0.639,1.0,82.3,11299.98,electronics_high_value,standard,0
10.38,6.1,2.86,0.75,2,3.82,5.3,6.23,0.764,0.958,78.3,57805.7,general_merchandise,palletized,0
20.96,1.32,4.15,1.67,1,3.97,3.18,2.53,0.618,0.978,88.6,107283.56,fresh_produce,refrigerated,0
7.23,1.23,4.28,1.89,0,5.75,0.84,5.39,0.653,0.951,68.1,32062.8,pharma_cold_chain,insulated,0
8.59,0.05,16.74,1.29,1,4.67,0.6,1.36,0.661,0.988,93.7,84022.89,pharma_cold_chain,insulated,0
14.94,2.71,5.7,0.23,0,5.46,6.95,4.9,0.743,0.981,36.4,49604.31,general_merchandise,refrigerated,1
22.45,9.54,4.8,1.62,1,7.96,4.95,4.13,0.76,0.967,90.7,47817.42,electronics_high_value,standard,0
13.28,0.84,8.05,1.5,2,2.01,2.98,7.38,0.566,0.961,92.9,63609.59,general_merchandise,insulated,0
15.64,7.47,12.08,2.19,1,3.56,2.58,5.27,0.668,0.955,58.2,44000.08,electronics_high_value,palletized,1
15.71,0.08,8.28,2.79,2,3.41,1.25,6.05,0.815,0.959,61.9,19207.09,fresh_produce,refrigerated,0
16.94,5.07,15.93,0.71,1,5.05,3.52,5.02,0.864,0.984,43.3,35505.82,general_merchandise,standard,0
15.17,4.5,11.81,1.38,1,4.61,4.51,1.45,0.851,0.997,79.1,18438.98,electronics_high_value,standard,0
14.85,2.69,3.39,1.67,0,3.47,4.52,3.42,0.767,0.941,63.8,18364.62,general_merchandise,standard,0
16.32,2.2,4.43,2.15,0,0.76,2.05,2.81,0.704,0.925,121.0,33243.91,fresh_produce,refrigerated,0
6.98,0.48,0.51,1.48,0,2.28,0.73,2.42,0.74,0.967,82.0,16732.99,pharma_cold_chain,refrigerated,1
13.51,1.95,8.46,2.75,0,1.79,3.38,2.29,0.887,0.939,82.7,23574.8,general_merchandise,insulated,0
8.58,4.64,14.12,2.25,2,3.06,1.76,4.58,0.759,0.88,51.7,22957.65,fresh_produce,palletized,0
15.85,4.69,13.59,2.86,2,2.38,1.22,6.97,0.735,0.982,46.1,22857.1,electronics_high_value,palletized,0
11.91,1.82,3.45,1.66,0,1.76,2.65,5.16,0.826,0.951,91.7,41983.64,fresh_produce,refrigerated,0
14.0,4.06,16.88,0.23,1,2.71,2.69,6.28,0.702,0.964,121.0,36299.84,general_merchandise,insulated,0
14.31,3.48,7.37,0.55,0,2.97,3.81,0.56,0.73,0.951,54.0,18482.38,fresh_produce,refrigerated,1
7.73,0.12,17.27,1.41,0,0.93,1.28,2.98,0.772,0.962,100.9,26099.13,pharma_cold_chain,refrigerated,1
10.15,0.58,17.12,2.22,0,1.93,3.58,1.98,0.741,0.979,54.2,29095.02,pharma_cold_chain,refrigerated,1
